Num,BEARID,Sex,Date,Time,Lat,Lon
159,1130,F,20050621,20:01:00,68.4885,-133.614
160,1130,F,20050622,0:01:00,68.4894,-133.6311
161,1130,F,20050623,8:00:00,68.4881,-133.63
162,1130,F,20050623,16:00:00,68.4886,-133.6155
163,1130,F,20050623,20:00:00,68.4889,-133.6127
164,1130,F,20050624,0:00:00,68.4857,-133.6501
165,1130,F,20050624,8:01:00,68.4696,-133.6481
166,1130,F,20050624,12:00:00,68.4677,-133.6451
167,1130,F,20050624,16:00:00,68.467,-133.644
168,1130,F,20050624,20:01:00,68.4497,-133.657
169,1130,F,20050625,0:00:00,68.4519,-133.6746
170,1130,F,20050625,8:01:00,68.4596,-133.7228
171,1130,F,20050625,12:00:00,68.4605,-133.7241
172,1130,F,20050625,16:00:00,68.4655,-133.7497
173,1130,F,20050625,20:00:00,68.4802,-133.7454
174,1130,F,20050626,0:01:00,68.4847,-133.7548
175,1130,F,20050626,8:00:00,68.4881,-133.7044
176,1130,F,20050626,12:00:00,68.4893,-133.7069
177,1130,F,20050626,16:01:00,68.4906,-133.7072
178,1130,F,20050626,20:01:00,68.4936,-133.6884
179,1130,F,20050627,0:00:00,68.5079,-133.7147
180,1130,F,20050627,8:01:00,68.5154,-133.8222
181,1130,F,20050627,12:00:00,68.5312,-133.8392
182,1130,F,20050627,16:00:00,68.5347,-133.8446
183,1130,F,20050627,20:01:00,68.5391,-133.808
184,1130,F,20050628,0:03:00,68.5393,-133.808
185,1130,F,20050628,8:00:00,68.5392,-133.7791
186,1130,F,20050628,12:01:00,68.5485,-133.7626
187,1130,F,20050628,16:00:00,68.5548,-133.8022
188,1130,F,20050628,20:00:00,68.5394,-133.8062
189,1130,F,20050629,0:01:00,68.5396,-133.8076
190,1130,F,20050629,8:01:00,68.5114,-133.7555
191,1130,F,20050629,12:01:00,68.5006,-133.7544
192,1130,F,20050629,16:00:00,68.492,-133.7328
193,1130,F,20050629,20:01:00,68.5003,-133.6825
194,1130,F,20050630,0:01:00,68.5002,-133.6828
195,1130,F,20050701,4:01:00,68.4498,-133.6256
196,1130,F,20050701,8:02:00,68.4414,-133.6119
197,1130,F,20050701,12:00:00,68.4466,-133.626
198,1130,F,20050701,16:00:00,68.4495,-133.6242
199,1130,F,20050701,20:00:00,68.4497,-133.6236
200,1130,F,20050702,0:00:00,68.4495,-133.6231
201,1130,F,20050703,8:01:00,68.5201,-133.6798
202,1130,F,20050703,12:01:00,68.5301,-133.6978
203,1130,F,20050703,16:00:00,68.5314,-133.6921
204,1130,F,20050703,20:01:00,68.5328,-133.6931
205,1130,F,20050704,0:01:00,68.5328,-133.6948
206,1130,F,20050704,8:00:00,68.5827,-133.6275
207,1130,F,20050704,12:00:00,68.615,-133.5976
208,1130,F,20050704,16:00:00,68.637,-133.6191
209,1130,F,20050704,20:00:00,68.6382,-133.6155
210,1130,F,20050705,0:00:00,68.6397,-133.6207
211,1130,F,20050705,8:00:00,68.6675,-133.6691
212,1130,F,20050705,12:01:00,68.6727,-133.7133
213,1130,F,20050705,16:00:00,68.6903,-133.722
214,1130,F,20050705,20:01:00,68.6903,-133.7243
215,1130,F,20050706,0:01:00,68.6905,-133.7255
216,1130,F,20050706,4:01:00,68.719,-133.7378
217,1130,F,20050706,8:00:00,68.7321,-133.7443
218,1130,F,20050706,12:00:00,68.7554,-133.7535
219,1130,F,20050706,16:00:00,68.7965,-133.6712
220,1130,F,20050706,20:02:00,68.8032,-133.6785
221,1130,F,20050707,0:00:00,68.8004,-133.7256
222,1130,F,20050707,4:00:00,68.7569,-133.7529
223,1130,F,20050707,8:01:00,68.7569,-133.7527
224,1130,F,20050707,16:00:00,68.7349,-133.7507
225,1130,F,20050707,20:02:00,68.7358,-133.7422
226,1130,F,20050708,0:01:00,68.7367,-133.7417
227,1130,F,20050708,4:01:00,68.7359,-133.7427
228,1130,F,20050708,8:01:00,68.7362,-133.7423
229,1130,F,20050708,12:02:00,68.736,-133.7416
230,1130,F,20050708,16:00:00,68.7368,-133.7405
231,1130,F,20050708,20:00:00,68.7366,-133.7415
232,1130,F,20050709,12:01:00,68.7276,-133.8781
233,1130,F,20050709,20:01:00,68.7251,-133.8961
234,1130,F,20050710,0:01:00,68.7244,-133.8981
235,1130,F,20050710,4:00:00,68.7098,-133.9342
236,1130,F,20050710,8:00:00,68.6909,-133.9351
237,1130,F,20050710,12:00:00,68.6828,-133.9764
238,1130,F,20050710,16:01:00,68.6778,-133.9804
239,1130,F,20050710,20:01:00,68.67,-133.9843
240,1130,F,20050711,12:02:00,68.6718,-134.038
241,1130,F,20050711,16:01:00,68.672,-134.0377
242,1130,F,20050711,20:01:00,68.672,-134.0376
243,1130,F,20050712,0:02:00,68.6717,-134.0379
244,1130,F,20050712,8:01:00,68.6717,-134.0624
245,1130,F,20050712,12:00:00,68.6762,-134.1287
246,1130,F,20050712,16:00:00,68.6769,-134.1287
247,1130,F,20050712,20:01:00,68.6604,-134.0684
248,1130,F,20050713,0:01:00,68.6598,-134.0619
249,1130,F,20050713,8:01:00,68.6655,-134.0198
250,1130,F,20050713,12:01:00,68.6705,-133.9941
251,1130,F,20050713,16:00:00,68.6697,-133.9955
252,1130,F,20050713,20:00:00,68.6697,-133.9955
253,1130,F,20050714,0:00:00,68.6699,-133.9956
254,1130,F,20050714,8:00:00,68.6842,-133.9812
255,1130,F,20050714,12:00:00,68.7086,-134.004
256,1130,F,20050714,16:01:00,68.7195,-133.9819
257,1130,F,20050714,20:01:00,68.7101,-133.9348
258,1130,F,20050715,0:01:00,68.7101,-133.9349
259,1130,F,20050715,12:01:00,68.769,-133.9757
260,1130,F,20050715,16:00:00,68.7743,-134.0171
261,1130,F,20050715,20:01:00,68.7741,-134.0177
262,1130,F,20050716,0:02:00,68.7742,-134.0174
263,1130,F,20050716,8:00:00,68.7769,-134.0338
264,1130,F,20050716,12:01:00,68.7826,-134.0367
265,1130,F,20050716,16:00:00,68.7823,-134.0367
266,1130,F,20050716,20:02:00,68.7962,-134.0706
267,1130,F,20050717,0:01:00,68.7966,-134.0706
268,1130,F,20050717,4:02:00,68.7967,-134.0738
269,1130,F,20050717,8:01:00,68.8019,-134.0745
270,1130,F,20050717,12:01:00,68.8001,-134.1245
271,1130,F,20050717,20:02:00,68.7986,-134.1053
272,1130,F,20050718,8:01:00,68.7911,-134.0168
273,1130,F,20050718,12:01:00,68.7878,-134.0044
274,1130,F,20050718,16:02:00,68.7894,-134.0114
275,1130,F,20050718,20:00:00,68.7897,-134.0119
276,1130,F,20050719,0:00:00,68.7897,-134.012
277,1130,F,20050720,8:00:00,68.7771,-134.0192
278,1130,F,20050720,12:00:00,68.7849,-134.0292
279,1130,F,20050720,16:01:00,68.7898,-134.0115
280,1130,F,20050720,20:01:00,68.797,-133.9878
281,1130,F,20050721,0:00:00,68.7969,-133.9881
282,1130,F,20050721,20:00:00,68.8156,-133.8218
283,1130,F,20050722,0:01:00,68.8283,-133.8501
284,1130,F,20050722,8:00:00,68.8331,-133.9006
285,1130,F,20050722,12:00:00,68.816,-133.9615
286,1130,F,20050722,16:00:00,68.8016,-133.9549
287,1130,F,20050722,20:01:00,68.7987,-133.9677
288,1130,F,20050723,0:00:00,68.7981,-133.9703
289,1130,F,20050723,8:00:00,68.7974,-133.9773
290,1130,F,20050723,12:01:00,68.7968,-133.9901
291,1130,F,20050723,16:00:00,68.7969,-133.9881
292,1130,F,20050723,20:00:00,68.7884,-134.0064
293,1130,F,20050724,0:01:00,68.7888,-134.0052
