Num,BEARID,Sex,Date,Time,Lat,Lon,r,dt
228,1046,M,20030717,16:00:00,69.2841,-134.5244,0.166501081,4
229,1046,M,20030717,20:01:00,69.3028,-134.5982,0.076132319,4
230,1046,M,20030718,4:00:00,69.299,-134.7082,0.110065617,8
231,1046,M,20030718,8:01:00,69.2739,-134.8041,0.099130318,4
232,1046,M,20030718,12:00:00,69.2763,-134.9034,0.099328999,4
233,1046,M,20030718,16:01:00,69.3067,-134.9543,0.059287182,4
234,1046,M,20030718,20:00:00,69.292,-134.9507,0.015134398,4
235,1046,M,20030719,0:00:00,69.292,-134.9511,0.0004,4
236,1046,M,20030719,4:01:00,69.2834,-135.0073,0.056854199,4
237,1046,M,20030719,8:00:00,69.2709,-135.0158,0.015116216,4
238,1046,M,20030719,12:00:00,69.2461,-135.1519,0.138341064,4
239,1046,M,20030719,16:00:00,69.2689,-135.1812,0.037125867,4
240,1046,M,20030720,0:01:00,69.2698,-135.1982,0.017023807,8
241,1046,M,20030720,4:01:00,69.2876,-135.2012,0.018051039,4
242,1046,M,20030720,8:01:00,69.2773,-135.2057,0.011240107,4
243,1046,M,20030720,12:02:00,69.2673,-135.1849,0.023078995,4
244,1046,M,20030720,16:02:00,69.2689,-135.1899,0.005249762,4
245,1046,M,20030720,20:01:00,69.2688,-135.1897,0.000223607,4
246,1046,M,20030721,0:00:00,69.2689,-135.1903,0.000608276,4
247,1046,M,20030721,4:01:00,69.2689,-135.1906,0.0003,4
248,1046,M,20030721,8:01:00,69.2806,-135.2241,0.035484363,4
249,1046,M,20030721,12:01:00,69.3078,-135.2609,0.045761119,4
250,1046,M,20030721,16:01:00,69.3128,-135.2543,0.008280097,4
251,1046,M,20030722,4:01:00,69.3219,-135.2317,0.024363292,12
252,1046,M,20030722,8:00:00,69.3207,-135.2082,0.023530618,4
253,1046,M,20030722,12:00:00,69.3206,-135.1205,0.087700057,4
254,1046,M,20030722,16:01:00,69.3214,-135.1147,0.005854912,4
255,1046,M,20030722,20:01:00,69.3214,-135.1146,0.0001,4
256,1046,M,20030723,0:01:00,69.3216,-135.1147,0.000223607,4
257,1046,M,20030723,4:00:00,69.3215,-135.1143,0.000412311,4
258,1046,M,20030723,8:00:00,69.3109,-135.0617,0.053657432,4
259,1046,M,20030723,12:00:00,69.2854,-135.024,0.045514174,4
260,1046,M,20030723,16:02:00,69.2854,-135.0244,0.0004,4
261,1046,M,20030723,20:00:00,69.2854,-135.0244,0,4
262,1046,M,20030724,0:00:00,69.2766,-135.0454,0.022769278,4
263,1046,M,20030724,4:01:00,69.2741,-135.0349,0.010793517,4
264,1046,M,20030724,8:00:00,69.2714,-135.0412,0.006854196,4
265,1046,M,20030724,12:01:00,69.2758,-135.0052,0.036267892,4
266,1046,M,20030724,16:00:00,69.2856,-135.0067,0.009914131,4
267,1046,M,20030724,20:01:00,69.2856,-135.0067,0,4
268,1046,M,20030725,0:01:00,69.2855,-135.0062,0.000509902,4
269,1046,M,20030725,4:00:00,69.2827,-135.0084,0.003560899,4
270,1046,M,20030725,8:01:00,69.2747,-135.0069,0.00813941,4
271,1046,M,20030725,12:01:00,69.2599,-135.0096,0.015044268,4
272,1046,M,20030725,16:00:00,69.2541,-134.963,0.046959557,4
273,1046,M,20030725,20:00:00,69.2545,-134.9599,0.0031257,4
274,1046,M,20030726,0:02:00,69.2752,-134.9409,0.028097865,4
275,1046,M,20030726,4:01:00,69.2709,-134.9181,0.02320194,4
276,1046,M,20030726,8:00:00,69.2289,-134.8486,0.081204988,4
277,1046,M,20030726,12:00:00,69.2145,-134.8395,0.017034377,4
278,1046,M,20030726,16:01:00,69.1666,-134.8493,0.048892228,4
279,1046,M,20030726,20:00:00,69.1654,-134.8485,0.001442221,4
280,1046,M,20030727,8:00:00,69.1234,-134.7908,0.071367289,12
281,1046,M,20030727,12:00:00,69.122,-134.7069,0.08391168,4
282,1046,M,20030727,16:01:00,69.0985,-134.6284,0.081942053,4
283,1046,M,20030728,0:01:00,69.0988,-134.6298,0.001431782,8
284,1046,M,20030728,4:00:00,69.0993,-134.6322,0.00245153,4
285,1046,M,20030728,8:00:00,69.0994,-134.6347,0.002501999,4
286,1046,M,20030728,12:01:00,69.0994,-134.6321,0.0026,4
287,1046,M,20030728,16:00:00,69.098,-134.6339,0.002280351,4
288,1046,M,20030728,20:00:00,69.0979,-134.6339,0.0001,4
289,1046,M,20030729,0:01:00,69.0989,-134.6344,0.001118034,4
290,1046,M,20030729,4:00:00,69.0972,-134.6318,0.003106445,4
291,1046,M,20030729,8:01:00,69.0975,-134.633,0.001236932,4
292,1046,M,20030729,12:00:00,69.0989,-134.6375,0.004712749,4
293,1046,M,20030730,0:00:00,69.0914,-134.6688,0.032186022,12
294,1046,M,20030730,4:01:00,69.0973,-134.6343,0.035000857,4
295,1046,M,20030730,8:00:00,69.0926,-134.646,0.012608727,4
296,1046,M,20030730,12:01:00,69.084,-134.6544,0.012021647,4
297,1046,M,20030730,16:00:00,69.061,-134.6269,0.035850384,4
298,1046,M,20030730,20:00:00,69.0462,-134.6257,0.014848569,4
299,1046,M,20030731,0:01:00,69.0394,-134.6367,0.012932131,4
300,1046,M,20030731,4:01:00,69.0164,-134.6662,0.03740655,4
301,1046,M,20030731,8:03:00,69.0029,-134.6758,0.016565325,4
302,1046,M,20030731,12:02:00,69.002,-134.6826,0.0068593,4
303,1046,M,20030731,16:01:00,69.0035,-134.7101,0.027540879,4
304,1046,M,20030801,0:01:00,68.9997,-134.7259,0.016250538,1664
305,1046,M,20030801,4:00:00,68.9951,-134.7523,0.026797761,4
306,1046,M,20030801,8:00:00,69.0003,-134.7959,0.043908997,4
307,1046,M,20030801,12:00:00,69.0024,-134.8049,0.009241753,4
308,1046,M,20030801,16:00:00,69.006,-134.8142,0.009972462,4
309,1046,M,20030802,0:02:00,69.0092,-134.8221,0.008523497,8
310,1046,M,20030802,4:01:00,69.0024,-134.8058,0.01766154,4
311,1046,M,20030802,8:00:00,68.9952,-134.7848,0.0222,4
312,1046,M,20030802,12:01:00,68.9946,-134.7829,0.001992486,4
313,1046,M,20030802,16:01:00,68.9864,-134.7743,0.011882761,4
314,1046,M,20030802,20:01:00,68.9864,-134.7743,0,4
315,1046,M,20030803,0:01:00,68.986,-134.7704,0.003920459,4
316,1046,M,20030803,4:01:00,68.9757,-134.7943,0.026024988,4
317,1046,M,20030803,8:00:00,68.965,-134.8198,0.027653933,4
318,1046,M,20030803,12:01:00,68.9663,-134.8112,0.008697701,4
319,1046,M,20030803,16:01:00,68.9642,-134.8193,0.008367795,4
320,1046,M,20030803,20:01:00,68.9647,-134.8137,0.005622277,4
321,1046,M,20030804,0:01:00,68.9637,-134.8236,0.009950377,4
322,1046,M,20030804,4:01:00,68.9742,-134.8371,0.017102631,4
323,1046,M,20030804,8:02:00,68.9739,-134.8376,0.000583095,4
324,1046,M,20030804,12:01:00,68.9841,-134.8386,0.010248902,4
325,1046,M,20030804,16:00:00,68.9863,-134.8545,0.01605148,4
326,1046,M,20030804,20:03:00,68.9867,-134.862,0.007510659,4
327,1046,M,20030805,0:01:00,68.9867,-134.8619,0.0001,4
328,1046,M,20030805,4:00:00,68.9881,-134.8612,0.001565248,4
329,1046,M,20030805,8:00:00,68.989,-134.8889,0.027714617,4
330,1046,M,20030805,12:00:00,68.9987,-134.975,0.086644677,4
331,1046,M,20030805,16:01:00,69.0152,-134.9719,0.016788687,4
332,1046,M,20030806,0:01:00,69.0152,-134.9722,0.0003,8
